email,financeiro,vendas,marketing,analise,suporte,gerencia,spam
"Comprei o plano Premium ontem mas Queria mudar do plano Premium pro plus, como faço?",1,1,0,0,0,0,0
Como faço para me tornar um moderador no Alura?,4,0,0,0,1,0,0
estou interessado em python minha duvida é se nos cursos do alura vou aprender sobre interface gráfica? já conheço um pouco mas estou almejando a pyqt pois me parece ser muito mais completa.,4,0,0,0,1,0,0
"Usei o cartão do meu pai e ele cancelou o pagamento pois eu não havia avisado, posso tentar efetuar a compra novamente?",0,0,0,0,0,0,0
Como faço para ser convidado a me tornar um moderador?,4,0,0,0,1,0,0
"Me cadastrei com o email antigo do paypal, mas gostaria de me cadastrar com um novo, poderia trocar para mim por favor?",0,0,0,0,0,0,0
Quais os passos para me tornar um desenvolvedor certificado na minha carreira de programador?,3,0,0,1,0,0,0
"Tenho o plano premiun de renovar o plano Premium plus, como faço?",0,0,0,0,0,0,0
"Quero ajudar mais a comunidade do Alura e me tornar um moderador, como posso fazer isso?",4,0,0,0,1,0,0
"Terminei a faculdade em sistemas de informação, porém não tenho muita Prática, qual curso devo optar em fazer, pretendo trabalhar com Java web inicialmente.",3,0,0,1,0,0,0
Além do paypal posso pagar com moip?,0,0,0,0,0,0,0
"Encontrei um erro de digitação em uma explicação, devo enviar por aqui ou pela ferramenta do site de envio de correção de explicação?",4,0,0,0,1,0,0
Posso efetuar o pagamento a vista via transferencia bancária?,0,0,0,0,0,0,0
"Boa noite, equipe do Alura! Senti a necessidade de aprender a programar e diante de algumas pesquisas no google me deparei com o site de vocês. Gostaria de saber se eu, que tenho perto de 0 de proximidade com a programação, serei capaz de entender, absorver e aprender realmente a lidar com as linguagens e ser capaz de programar ou se são cursos para quem já possui uma base e deseja aprender ainda mais. De qualquer forma fica aqui um depoimento de alguém que só de ver o site de vocês já sentiu mais vontade ainda de aprender. Parabéns!",3,0,0,1,0,0,0
"Usei a conta do paypal de meus pais para me cadastrar, mas gostaria de usar meu email, por favor trocar.",0,0,0,0,0,0,0
"Desde já, desejo-te um ótimo início de semana, seguinte sou do COBOL, estudei outras linguagens, mas a que mais me identifiquei foi python, gostaria de saber se a trilha do curso python vai ser desenvolvido na plataforma Windows?",4,0,0,0,1,0,0
"Gostaria de saber qual o melhor curso para eu fazer, já que não tenho nenhum conhecimento na área de programação.",3,0,0,1,0,0,0
Posso usar o cartão de meu pai para efetuar o pagamento?,0,0,0,0,0,0,0
"Trabalhando com o framework Django não ficamos dependente desse programa, pois não seria melhor criarmos nosso próprio framework para termos maior independência e maior controle sobre as aplicações?",4,0,0,0,1,0,0
"É necessário aprender html, css e javascrip em python para criar aplicações web?",4,0,0,0,1,0,0
"Estou com dificuldade para fazer o pagamento, poderia me ajudar?",0,0,0,0,0,0,0
"Gostaria de saber qual o melhor caminho para meu filho, que gosta de design mas não é fã de programação. Ele deve fazer lógica?",3,0,0,1,0,0,0
